time;gFx;gFy;gFz;TgF
0.0080;-0.0873;0.5617;0.8812;1.049
0.0090;-0.0702;0.5599;0.9138;1.074
0.0100;-0.0548;0.5528;0.9407;1.092
0.0100;-0.0402;0.5413;0.9463;1.091
0.0110;-0.0331;0.5296;0.9319;1.072
0.0120;-0.0390;0.5177;0.9060;1.044
0.0130;-0.0462;0.5070;0.8802;1.017
0.0180;-0.0567;0.4997;0.8520;0.989
0.0230;-0.0724;0.4956;0.8284;0.968
0.0280;-0.0900;0.4970;0.8040;0.949
0.0360;-0.1049;0.4996;0.7878;0.939
0.0370;-0.1168;0.4989;0.7766;0.930
0.0420;-0.1230;0.4931;0.7669;0.920
0.0500;-0.1344;0.4892;0.7632;0.916
0.0530;-0.1415;0.4882;0.7683;0.921
0.0580;-0.1466;0.4888;0.7697;0.923
0.0620;-0.1497;0.4901;0.7697;0.925
0.0670;-0.1493;0.4886;0.7738;0.927
0.0720;-0.1512;0.4853;0.7735;0.926
0.0780;-0.1514;0.4787;0.7749;0.923
0.0950;-0.1371;0.4733;0.7868;0.928
0.0960;-0.1156;0.4686;0.8035;0.937
0.0970;-0.0881;0.4673;0.8175;0.946
0.1020;-0.0588;0.4663;0.8328;0.956
0.1030;-0.0377;0.4622;0.8609;0.978
0.1360;-0.0194;0.4595;0.9106;1.020
0.1370;0.0027;0.4536;0.9547;1.057
0.1380;0.0239;0.4515;0.9617;1.063
0.1390;0.0443;0.4450;0.9464;1.047
0.1410;0.0533;0.4380;0.9348;1.034
0.1420;0.0523;0.4498;0.9857;1.085
0.1430;0.0229;0.4646;0.9807;1.085
0.1440;-0.0098;0.4497;0.9119;1.017
0.1470;-0.0128;0.4239;0.8484;0.949
0.1510;0.0025;0.3943;0.8242;0.914
0.1560;0.0085;0.3657;0.8456;0.921
0.1620;0.0134;0.3452;0.8818;0.947
0.1670;0.0136;0.3489;0.9086;0.973
0.1710;0.0116;0.3721;0.9063;0.980
0.1760;0.0106;0.3980;0.8936;0.978
0.1810;0.0142;0.4227;0.8824;0.979
0.1890;0.0277;0.4320;0.8917;0.991
0.1910;0.0440;0.4244;0.9069;1.002
0.1960;0.0550;0.4115;0.9245;1.013
0.2010;0.0619;0.3966;0.9398;1.022
0.2110;0.0660;0.3651;0.9592;1.028
0.2120;0.0806;0.3447;0.9617;1.025
0.2190;0.0729;0.3403;0.9577;1.019
0.2210;0.0694;0.3182;0.9626;1.016
0.2260;0.0631;0.2999;0.9817;1.028
0.2330;0.0426;0.3065;1.0003;1.047
0.2480;0.0244;0.3142;1.0105;1.058
0.2500;0.0349;0.3261;0.9966;1.049
0.2510;0.0240;0.3814;0.9661;1.039
0.2520;0.0304;0.3649;0.9629;1.030
0.2600;0.0707;0.3190;0.9482;1.003
0.2610;0.1018;0.2964;0.9212;0.973
0.2650;0.1141;0.2981;0.8924;0.948
0.2890;0.1161;0.3027;0.8752;0.933
0.2900;0.1146;0.3085;0.8813;0.941
0.2910;0.0938;0.3423;0.8843;0.953
0.2920;0.0463;0.3941;0.8634;0.950
0.2930;-0.0105;0.4421;0.8574;0.965
0.3010;-0.0398;0.4754;0.8797;1.001
0.3020;-0.0696;0.4933;0.9025;1.031
0.3060;-0.1046;0.4734;0.9182;1.038
0.3120;-0.1036;0.4270;0.9147;1.015
0.3160;-0.0914;0.3851;0.9016;0.985
0.3260;-0.0935;0.3554;0.8928;0.965
0.3270;-0.0878;0.3315;0.9091;0.972
0.3290;-0.0657;0.3240;0.9463;1.002
0.3360;-0.0411;0.3370;0.9723;1.030
0.3390;-0.0113;0.3668;0.9757;1.042
0.3450;0.0142;0.3974;0.9649;1.044
0.3490;0.0250;0.4131;0.9560;1.042
0.3540;0.0159;0.4028;0.9439;1.026
0.3590;0.0147;0.3707;0.9355;1.006
0.3640;0.0147;0.3707;0.9355;1.006
0.3860;0.0238;0.3306;0.9326;0.990
0.4010;0.0307;0.2905;0.9284;0.973
0.4020;0.0238;0.2671;0.9247;0.963
0.4030;0.0100;0.2439;0.9249;0.957
0.4040;-0.0087;0.2232;0.9471;0.973
0.4050;-0.0192;0.2150;0.9740;0.998
0.4060;-0.0354;0.2259;1.0048;1.030
0.4080;-0.0407;0.2553;1.0289;1.061
0.4090;-0.0436;0.2763;1.0500;1.087
0.4300;-0.0304;0.2855;1.0602;1.098
0.4300;0.0261;0.2377;1.0762;1.102
0.4310;0.0421;0.2053;1.0779;1.098
0.4330;0.0181;0.2270;1.0610;1.085
0.4350;0.0214;0.2453;1.0252;1.054
0.4420;0.0486;0.2463;0.9930;1.024
0.4430;0.0638;0.2337;0.9797;1.009
0.4500;0.0682;0.2287;0.9744;1.003
0.4560;0.0816;0.2266;0.9561;0.986
