time;gFx;gFy;gFz;TgF
0.0010;-0.0938;0.4024;0.8962;0.987
0.0060;-0.0936;0.3853;0.8843;0.969
0.0120;-0.0907;0.3671;0.8757;0.954
0.0150;-0.0846;0.3514;0.8711;0.943
0.0210;-0.0717;0.3374;0.8716;0.937
0.0250;-0.0663;0.3274;0.8692;0.931
0.0390;-0.0646;0.3196;0.8655;0.925
0.0400;-0.0682;0.3205;0.8530;0.914
0.0410;-0.0729;0.3294;0.8404;0.906
0.0610;-0.0829;0.3450;0.8268;0.900
0.0620;-0.0950;0.3655;0.8176;0.901
0.0630;-0.1055;0.3854;0.8137;0.907
0.0640;-0.1165;0.3981;0.8157;0.915
0.0640;-0.1260;0.4016;0.8242;0.925
0.0710;-0.1363;0.4037;0.8359;0.938
0.0750;-0.1460;0.4027;0.8482;0.950
0.0800;-0.1468;0.3931;0.8694;0.965
0.0850;-0.1429;0.3801;0.8857;0.974
0.0900;-0.1358;0.3691;0.9008;0.983
0.0990;-0.1270;0.3556;0.9136;0.989
0.1000;-0.1207;0.3405;0.9216;0.990
0.1060;-0.1119;0.3302;0.9333;0.996
0.1100;-0.1033;0.3214;0.9384;0.997
0.1150;-0.0942;0.3145;0.9464;1.002
0.1210;-0.0856;0.3092;0.9528;1.005
0.1250;-0.0773;0.3053;0.9578;1.008
0.1300;-0.0726;0.3022;0.9608;1.010
0.1360;-0.0696;0.2983;0.9703;1.018
0.1390;-0.0683;0.2965;0.9770;1.023
0.1590;-0.0643;0.2920;0.9849;1.029
0.1600;-0.0606;0.2868;0.9902;1.033
0.1610;-0.0585;0.2828;0.9938;1.035
0.1630;-0.0597;0.2822;1.0018;1.043
0.1650;-0.0609;0.2816;1.0061;1.047
0.1950;-0.0613;0.2814;1.0078;1.048
0.1960;-0.0605;0.2822;1.0049;1.046
0.1980;-0.0600;0.2857;1.0041;1.046
0.1990;-0.0566;0.2851;0.9991;1.041
0.2000;-0.0611;0.2898;0.9888;1.032
0.2010;-0.0599;0.2954;0.9766;1.022
0.2030;-0.0616;0.3021;0.9644;1.012
0.2040;-0.0640;0.3083;0.9582;1.009
0.2090;-0.0690;0.3106;0.9530;1.005
0.2140;-0.0723;0.3164;0.9403;0.995
0.2190;-0.0723;0.3164;0.9403;0.995
0.2230;-0.0738;0.3223;0.9356;0.992
0.2320;-0.0818;0.3273;0.9293;0.989
0.2330;-0.0855;0.3336;0.9272;0.989
0.2380;-0.0894;0.3382;0.9193;0.984
0.2430;-0.0925;0.3434;0.9139;0.981
0.2480;-0.0949;0.3491;0.9086;0.978
0.2530;-0.0963;0.3527;0.9020;0.973
0.2580;-0.0967;0.3542;0.9002;0.972
0.2660;-0.0999;0.3547;0.9015;0.974
0.2670;-0.1039;0.3571;0.9012;0.975
0.2730;-0.1077;0.3584;0.9008;0.975
0.2930;-0.1090;0.3619;0.9047;0.980
0.2970;-0.1098;0.3645;0.9032;0.980
0.3060;-0.1105;0.3649;0.8999;0.977
0.3070;-0.1099;0.3693;0.9014;0.980
0.3080;-0.1116;0.3679;0.9059;0.984
0.3090;-0.1116;0.3669;0.9095;0.987
0.3090;-0.1146;0.3661;0.9105;0.988
0.3330;-0.1150;0.3632;0.9126;0.989
0.3340;-0.1135;0.3597;0.9129;0.988
0.3350;-0.1118;0.3582;0.9172;0.991
0.3360;-0.1118;0.3562;0.9195;0.992
0.3370;-0.1080;0.3508;0.9222;0.993
0.3380;-0.1027;0.3480;0.9237;0.992
0.3420;-0.0947;0.3442;0.9261;0.993
0.3480;-0.0913;0.3376;0.9290;0.993
0.3520;-0.0882;0.3288;0.9285;0.989
0.3580;-0.0889;0.3229;0.9303;0.989
0.3660;-0.0881;0.3197;0.9328;0.990
0.3670;-0.0870;0.3210;0.9329;0.990
0.3720;-0.0862;0.3192;0.9402;0.997
0.3770;-0.0861;0.3206;0.9441;1.001
0.3820;-0.0864;0.3196;0.9495;1.006
