time;gFx;gFy;gFz;TgF
0.0040;-0.0903;0.3251;0.9069;0.968
0.0060;-0.0709;0.3496;0.9072;0.975
0.0130;-0.0617;0.3513;0.9044;0.972
0.0160;-0.0676;0.3376;0.8990;0.963
0.0200;-0.0771;0.3224;0.8932;0.953
0.0260;-0.0839;0.3109;0.8925;0.949
0.0300;-0.0834;0.3097;0.8962;0.952
0.0350;-0.0795;0.3188;0.9067;0.964
0.0400;-0.0788;0.3258;0.9141;0.974
0.0570;-0.0768;0.3255;0.9179;0.977
0.0580;-0.0773;0.3208;0.9199;0.977
0.0600;-0.0799;0.3147;0.9229;0.978
0.0610;-0.0801;0.3133;0.9221;0.977
0.0780;-0.0783;0.3089;0.9206;0.974
0.0790;-0.0764;0.3130;0.9174;0.972
0.0800;-0.0754;0.3149;0.9149;0.970
0.0820;-0.0716;0.3196;0.9207;0.977
0.0860;-0.0696;0.3213;0.9254;0.982
0.0910;-0.0707;0.3229;0.9293;0.986
0.0960;-0.0743;0.3255;0.9340;0.992
0.1000;-0.0741;0.3255;0.9356;0.993
0.1060;-0.0712;0.3255;0.9364;0.994
0.1130;-0.0701;0.3252;0.9427;1.000
0.1150;-0.0721;0.3230;0.9414;0.998
0.1210;-0.0734;0.3230;0.9417;0.998
0.1250;-0.0765;0.3239;0.9389;0.996
0.1290;-0.0773;0.3277;0.9398;0.998
0.1340;-0.0777;0.3272;0.9414;1.000
0.1400;-0.0801;0.3262;0.9417;1.000
0.1500;-0.0851;0.3278;0.9441;1.003
0.1510;-0.0852;0.3321;0.9512;1.011
0.1560;-0.0928;0.3403;0.9426;1.006
0.1600;-0.1621;0.4075;0.9723;1.067
0.1720;-0.1402;0.4065;0.9712;1.062
0.1730;-0.1079;0.3834;1.0003;1.077
0.1740;-0.0939;0.3556;0.9675;1.035
0.1840;-0.0989;0.3334;0.9438;1.006
0.1850;-0.1064;0.3276;0.9516;1.012
0.1890;-0.1038;0.3296;0.9538;1.015
0.2090;-0.0919;0.3329;0.9604;1.021
0.2100;-0.0821;0.3323;0.9615;1.021
0.2110;-0.0820;0.3246;0.9533;1.010
0.2130;-0.0831;0.3100;0.9422;0.995
0.2140;-0.0848;0.2993;0.9417;0.992
0.2520;-0.0843;0.2960;0.9490;0.998
0.2530;-0.0804;0.3031;0.9465;0.997
0.2540;-0.0757;0.3190;0.9419;0.997
0.2550;-0.0677;0.3325;0.9227;0.983
0.2560;-0.0668;0.3459;0.9091;0.975
0.2570;-0.0664;0.3547;0.8999;0.970
0.2590;-0.0632;0.3549;0.8899;0.960
0.2590;-0.0635;0.3524;0.8859;0.955
0.2600;-0.0624;0.3431;0.8867;0.953
0.2650;-0.0615;0.3324;0.8898;0.952
0.2680;-0.0586;0.3219;0.8924;0.950
0.2750;-0.0567;0.3188;0.8956;0.952
0.2780;-0.0530;0.3133;0.9009;0.955
0.2830;-0.0505;0.3109;0.9050;0.958
0.2880;-0.0511;0.3073;0.9091;0.961
0.2930;-0.0549;0.3076;0.9124;0.964
0.3040;-0.0578;0.3085;0.9179;0.970
0.3050;-0.0601;0.3075;0.9191;0.971
0.3070;-0.0599;0.3077;0.9215;0.973
0.3150;-0.0599;0.3077;0.9215;0.973
0.3180;-0.0567;0.3108;0.9241;0.977
0.3230;-0.0580;0.3100;0.9292;0.981
0.3280;-0.0567;0.3116;0.9312;0.984
0.3330;-0.0561;0.3103;0.9303;0.982
0.3400;-0.0521;0.3075;0.9303;0.981
0.3430;-0.0500;0.3059;0.9328;0.983
0.3770;-0.0504;0.3034;0.9362;0.985
0.3820;-0.0520;0.3028;0.9400;0.989
0.3830;-0.0539;0.3061;0.9420;0.992
0.3840;-0.0558;0.3039;0.9430;0.992
