time;gFx;gFy;gFz;TgF
0.0030;-0.0299;0.0892;1.0121;1.016
0.0040;-0.0276;0.0948;1.0038;1.009
0.0140;-0.0276;0.0948;1.0038;1.009
0.0150;-0.0264;0.0966;0.9963;1.001
0.0190;-0.0250;0.0982;0.9835;0.989
0.0250;-0.0244;0.0982;0.9813;0.986
0.0300;-0.0274;0.0978;0.9814;0.987
0.0340;-0.0299;0.0989;0.9843;0.990
0.0390;-0.0348;0.0968;0.9922;0.998
0.0440;-0.0369;0.0943;0.9960;1.001
0.0490;-0.0390;0.0934;1.0046;1.010
0.0540;-0.0372;0.0951;1.0098;1.015
0.0580;-0.0355;0.0923;1.0153;1.020
0.0640;-0.0330;0.0912;1.0131;1.018
0.0690;-0.0283;0.0887;1.0132;1.017
0.0730;-0.0225;0.0869;1.0083;1.012
0.0840;-0.0191;0.0847;1.0001;1.004
0.0850;-0.0160;0.0830;0.9964;1.000
0.0880;-0.0162;0.0834;0.9962;1.000
0.0960;-0.0133;0.0826;0.9907;0.994
0.0980;-0.0129;0.0828;0.9821;0.986
0.1040;-0.0129;0.0844;0.9771;0.981
0.1090;-0.0136;0.0854;0.9736;0.977
0.1140;-0.0161;0.0893;0.9673;0.972
0.1180;-0.0170;0.0905;0.9613;0.966
0.1240;-0.0198;0.0908;0.9553;0.960
0.1290;-0.0211;0.0923;0.9497;0.954
0.1330;-0.0233;0.0937;0.9434;0.948
0.1390;-0.0259;0.0934;0.9358;0.941
0.1470;-0.0290;0.0946;0.9395;0.945
0.1490;-0.0311;0.0967;0.9463;0.952
0.1530;-0.0285;0.0901;0.9539;0.959
0.1580;-0.0264;0.0862;0.9594;0.964
0.1630;-0.0200;0.0799;0.9668;0.970
0.1680;-0.0147;0.0752;0.9736;0.977
0.1730;-0.0123;0.0719;0.9819;0.985
0.1800;-0.0107;0.0721;0.9866;0.989
0.1840;-0.0126;0.0741;0.9836;0.987
0.1880;-0.0136;0.0732;0.9822;0.985
0.1920;-0.0204;0.0784;0.9830;0.986
0.1970;-0.0267;0.0834;0.9764;0.980
0.2030;-0.0297;0.0889;0.9729;0.977
0.2090;-0.0358;0.0967;0.9709;0.976
