time;gFx;gFy;gFz;TgF
0.0030;-0.0156;0.0483;0.9886;0.990
0.0040;-0.0170;0.0496;0.9815;0.983
0.0130;-0.0161;0.0479;0.9800;0.981
0.0140;-0.0122;0.0442;0.9755;0.977
0.0260;-0.0134;0.0428;0.9728;0.974
0.0280;-0.0135;0.0395;0.9711;0.972
0.0290;-0.0125;0.0370;0.9737;0.975
0.0340;-0.0142;0.0352;0.9785;0.979
0.0420;-0.0150;0.0329;0.9788;0.979
0.0430;-0.0158;0.0335;0.9805;0.981
0.0490;-0.0191;0.0355;0.9774;0.978
0.0580;-0.0176;0.0346;0.9786;0.979
0.0600;-0.0175;0.0344;0.9774;0.978
0.0640;-0.0155;0.0344;0.9805;0.981
0.0750;-0.0138;0.0348;0.9784;0.979
0.0760;-0.0115;0.0373;0.9810;0.982
0.0780;-0.0112;0.0349;0.9847;0.985
0.0830;-0.0134;0.0380;0.9885;0.989
0.0880;-0.0186;0.0398;0.9886;0.990
0.0930;-0.0205;0.0414;0.9910;0.992
0.0980;-0.0225;0.0402;0.9882;0.989
0.1070;-0.0209;0.0401;0.9867;0.988
0.1080;-0.0209;0.0401;0.9867;0.988
0.1130;-0.0184;0.0414;0.9849;0.986
0.1190;-0.0202;0.0405;0.9781;0.979
0.1230;-0.0177;0.0395;0.9782;0.979
0.1310;-0.0173;0.0402;0.9778;0.979
0.1320;-0.0178;0.0424;0.9796;0.981
0.1470;-0.0197;0.0410;0.9816;0.983
0.1480;-0.0210;0.0394;0.9870;0.988
0.1490;-0.0184;0.0393;0.9875;0.988
0.1520;-0.0178;0.0435;0.9888;0.990
0.1570;-0.0191;0.0399;0.9875;0.989
0.1620;-0.0203;0.0394;0.9903;0.991
0.1660;-0.0192;0.0373;0.9905;0.991
0.1710;-0.0200;0.0399;0.9885;0.990
0.1760;-0.0201;0.0406;0.9900;0.991
0.1810;-0.0206;0.0444;0.9904;0.992
0.1970;-0.0205;0.0447;0.9862;0.987
0.1980;-0.0224;0.0481;0.9850;0.986
0.1990;-0.0206;0.0478;0.9847;0.986
0.2020;-0.0183;0.0465;0.9821;0.983
0.2220;-0.0151;0.0461;0.9841;0.985
0.2230;-0.0150;0.0431;0.9871;0.988
0.2250;-0.0122;0.0407;0.9906;0.992
0.2270;-0.0128;0.0417;0.9921;0.993
0.2280;-0.0140;0.0401;0.9894;0.990
0.2310;-0.0128;0.0418;0.9924;0.993
0.2370;-0.0116;0.0420;0.9925;0.993
0.2410;-0.0129;0.0410;0.9946;0.996
0.2460;-0.0140;0.0414;0.9942;0.995
0.2510;-0.0154;0.0435;0.9932;0.994
0.2560;-0.0155;0.0432;0.9930;0.994
0.2610;-0.0148;0.0443;0.9910;0.992
0.2660;-0.0155;0.0434;0.9874;0.988
0.2720;-0.0167;0.0446;0.9872;0.988
0.2760;-0.0177;0.0461;0.9898;0.991
0.2810;-0.0205;0.0434;0.9932;0.994
0.2860;-0.0193;0.0428;0.9929;0.994
0.2980;-0.0224;0.0423;0.9964;0.998
0.2990;-0.0241;0.0434;0.9998;1.001
0.3000;-0.0268;0.0473;0.9993;1.001
0.3160;-0.0271;0.0450;0.9976;0.999
0.3200;-0.0264;0.0445;0.9987;1.000
0.3210;-0.0278;0.0425;0.9994;1.001
0.3260;-0.0288;0.0422;0.9988;1.000
0.3270;-0.0289;0.0436;0.9948;0.996
0.3370;-0.0258;0.0429;0.9869;0.988
0.3380;-0.0249;0.0428;0.9797;0.981
0.3400;-0.0235;0.0414;0.9776;0.979
0.3450;-0.0233;0.0430;0.9755;0.977
0.3490;-0.0245;0.0429;0.9778;0.979
0.3570;-0.0257;0.0434;0.9772;0.979
0.3590;-0.0273;0.0424;0.9819;0.983
0.3650;-0.0260;0.0412;0.9803;0.981
0.3740;-0.0247;0.0426;0.9794;0.981
0.3750;-0.0236;0.0413;0.9805;0.982
0.3790;-0.0246;0.0398;0.9808;0.982
0.3840;-0.0282;0.0392;0.9834;0.985
0.3910;-0.0299;0.0418;0.9801;0.981
0.3940;-0.0302;0.0387;0.9844;0.986
0.4000;-0.0286;0.0396;0.9841;0.985
0.4040;-0.0285;0.0386;0.9834;0.985
0.4160;-0.0259;0.0363;0.9867;0.988
0.4170;-0.0246;0.0350;0.9869;0.988
0.4200;-0.0228;0.0342;0.9866;0.987
0.4440;-0.0211;0.0362;0.9878;0.989
0.4460;-0.0230;0.0351;0.9872;0.988
0.4490;-0.0223;0.0350;0.9879;0.989
0.4500;-0.0208;0.0360;0.9886;0.989
0.4510;-0.0180;0.0370;0.9873;0.988
0.4530;-0.0194;0.0375;0.9890;0.990
0.4550;-0.0171;0.0355;0.9882;0.989
0.4650;-0.0198;0.0372;0.9871;0.988
0.4680;-0.0172;0.0388;0.9897;0.991
0.4710;-0.0179;0.0382;0.9899;0.991
0.4830;-0.0168;0.0386;0.9896;0.990
0.4840;-0.0175;0.0384;0.9885;0.989
0.4850;-0.0210;0.0409;0.9895;0.991
0.4890;-0.0252;0.0408;0.9877;0.989
0.5180;-0.0263;0.0429;0.9866;0.988
0.5200;-0.0267;0.0434;0.9888;0.990
0.5210;-0.0261;0.0442;0.9945;0.996
0.5230;-0.0260;0.0447;0.9970;0.998
0.5240;-0.0290;0.0454;0.9966;0.998
0.5250;-0.0275;0.0435;0.9970;0.998
0.5270;-0.0275;0.0414;0.9952;0.996
0.5280;-0.0236;0.0416;0.9949;0.996
0.5320;-0.0249;0.0395;0.9929;0.994
0.5500;-0.0249;0.0381;0.9959;0.997
0.5510;-0.0231;0.0383;0.9939;0.995
0.5520;-0.0241;0.0368;0.9916;0.993
0.5540;-0.0240;0.0365;0.9904;0.991
0.5610;-0.0216;0.0354;0.9868;0.988
0.5620;-0.0190;0.0361;0.9841;0.985
0.5670;-0.0204;0.0363;0.9806;0.982
0.5750;-0.0224;0.0355;0.9816;0.982
0.5780;-0.0229;0.0358;0.9793;0.980
0.5820;-0.0237;0.0357;0.9802;0.981
0.5890;-0.0271;0.0348;0.9792;0.980
0.5920;-0.0258;0.0312;0.9789;0.980
0.6010;-0.0213;0.0297;0.9807;0.981
0.6030;-0.0213;0.0288;0.9809;0.982
0.6120;-0.0202;0.0262;0.9836;0.984
0.6140;-0.0197;0.0253;0.9836;0.984
0.6170;-0.0197;0.0253;0.9836;0.984
0.6240;-0.0166;0.0234;0.9827;0.983
0.6260;-0.0153;0.0233;0.9822;0.983
0.6320;-0.0127;0.0228;0.9816;0.982
0.6400;-0.0142;0.0252;0.9771;0.978
0.6410;-0.0140;0.0263;0.9773;0.978
0.6510;-0.0162;0.0285;0.9788;0.979
0.6520;-0.0194;0.0291;0.9809;0.982
0.6600;-0.0195;0.0293;0.9820;0.983
0.6620;-0.0205;0.0315;0.9805;0.981
0.6660;-0.0234;0.0303;0.9838;0.985
0.6710;-0.0199;0.0330;0.9868;0.988
0.6880;-0.0225;0.0365;0.9843;0.985
0.6910;-0.0242;0.0397;0.9886;0.990
0.6920;-0.0252;0.0423;0.9883;0.990
0.6930;-0.0235;0.0434;0.9881;0.989
0.6960;-0.0268;0.0435;0.9892;0.991
0.7010;-0.0250;0.0452;0.9868;0.988
0.7050;-0.0225;0.0462;0.9872;0.989
0.7130;-0.0205;0.0487;0.9857;0.987
0.7150;-0.0189;0.0489;0.9840;0.985
0.7200;-0.0191;0.0429;0.9848;0.986
0.7280;-0.0156;0.0451;0.9904;0.992
0.7300;-0.0159;0.0432;0.9965;0.998
0.7350;-0.0192;0.0416;0.9998;1.001
0.7430;-0.0189;0.0376;1.0058;1.007
0.7450;-0.0189;0.0379;1.0105;1.011
0.7500;-0.0161;0.0348;1.0105;1.011
0.7570;-0.0196;0.0333;1.0056;1.006
0.7600;-0.0172;0.0328;1.0050;1.006
0.7650;-0.0151;0.0313;1.0030;1.004
0.7720;-0.0177;0.0349;1.0060;1.007
0.7810;-0.0211;0.0346;1.0105;1.011
0.7840;-0.0242;0.0357;1.0063;1.007
0.7860;-0.0274;0.0344;1.0020;1.003
0.7900;-0.0258;0.0351;0.9984;0.999
0.7990;-0.0250;0.0357;0.9959;0.997
0.8030;-0.0242;0.0360;0.9927;0.994
0.8050;-0.0239;0.0337;0.9871;0.988
0.8160;-0.0250;0.0344;0.9850;0.986
0.8180;-0.0266;0.0322;0.9852;0.986
0.8200;-0.0241;0.0320;0.9868;0.988
0.8480;-0.0227;0.0318;0.9875;0.988
0.8500;-0.0241;0.0325;0.9924;0.993
0.8510;-0.0252;0.0307;0.9898;0.991
0.8540;-0.0250;0.0318;0.9844;0.985
0.8560;-0.0246;0.0322;0.9834;0.984
0.8590;-0.0272;0.0343;0.9828;0.984
0.8600;-0.0282;0.0345;0.9823;0.983
0.8610;-0.0276;0.0335;0.9827;0.984
0.8670;-0.0269;0.0316;0.9825;0.983
0.8690;-0.0245;0.0297;0.9806;0.981
0.8740;-0.0229;0.0304;0.9783;0.979
0.8790;-0.0224;0.0322;0.9767;0.977
0.8840;-0.0206;0.0319;0.9770;0.978
0.8890;-0.0210;0.0325;0.9801;0.981
0.8950;-0.0206;0.0312;0.9817;0.982
0.8980;-0.0184;0.0315;0.9843;0.985
0.9030;-0.0213;0.0325;0.9890;0.990
0.9130;-0.0222;0.0356;0.9922;0.993
0.9140;-0.0247;0.0375;0.9935;0.995
0.9180;-0.0254;0.0392;0.9971;0.998
0.9230;-0.0247;0.0403;0.9973;0.998
0.9280;-0.0271;0.0384;0.9975;0.999
0.9330;-0.0255;0.0384;0.9918;0.993
0.9390;-0.0254;0.0389;0.9903;0.991
0.9520;-0.0249;0.0389;0.9915;0.993
0.9540;-0.0262;0.0403;0.9935;0.995
0.9550;-0.0246;0.0398;0.9938;0.995
0.9580;-0.0225;0.0390;0.9927;0.994
0.9690;-0.0188;0.0365;0.9929;0.994
