time;gFx;gFy;gFz;TgF
0.0040;-0.0486;-0.2723;0.8644;0.908
0.0040;-0.0461;-0.2739;0.8625;0.906
0.0050;-0.0439;-0.2690;0.8676;0.909
0.0050;-0.0383;-0.2650;0.8761;0.916
0.0110;-0.0290;-0.2627;0.8914;0.930
0.0140;-0.0217;-0.2662;0.9020;0.941
0.0200;-0.0153;-0.2676;0.9110;0.950
0.0240;-0.0094;-0.2675;0.9209;0.959
0.0290;-0.0053;-0.2726;0.9340;0.973
0.0340;-0.0021;-0.2709;0.9498;0.988
0.0390;0.0015;-0.2756;0.9662;1.005
0.0430;-0.0005;-0.2827;0.9667;1.007
0.0490;-0.0043;-0.2896;0.9817;1.024
0.0540;-0.0092;-0.2951;0.9904;1.033
0.0580;-0.0166;-0.2960;0.9933;1.037
0.0630;-0.0261;-0.2987;0.9992;1.043
0.0680;-0.0404;-0.2990;0.9992;1.044
0.0730;-0.0521;-0.2987;0.9874;1.033
0.0790;-0.0612;-0.2938;0.9866;1.031
0.0830;-0.0672;-0.2862;0.9814;1.024
0.0940;-0.0672;-0.2814;0.9653;1.008
0.0950;-0.0633;-0.2815;0.9528;0.996
0.0980;-0.0589;-0.2827;0.9471;0.990
0.1030;-0.0537;-0.2822;0.9308;0.974
0.1080;-0.0459;-0.2841;0.9109;0.955
0.1120;-0.0362;-0.2851;0.9033;0.948
0.1180;-0.0279;-0.2877;0.8972;0.943
0.1230;-0.0192;-0.2844;0.8968;0.941
0.1270;-0.0144;-0.2816;0.8982;0.941
0.1320;-0.0065;-0.2787;0.9003;0.942
0.1390;-0.0003;-0.2715;0.9061;0.946
0.1430;-0.0003;-0.2715;0.9061;0.946
0.1470;0.0032;-0.2683;0.9122;0.951
0.1530;0.0022;-0.2673;0.9146;0.953
0.1580;0.0029;-0.2680;0.9201;0.958
0.1620;0.0031;-0.2653;0.9314;0.968
0.1670;0.0020;-0.2617;0.9364;0.972
0.1720;-0.0027;-0.2629;0.9421;0.978
0.1780;-0.0240;-0.2729;0.9634;1.002
0.1820;-0.0240;-0.2729;0.9634;1.002
0.1870;-0.0319;-0.2786;0.9684;1.008
0.1920;-0.0374;-0.2788;0.9673;1.007
0.1970;-0.0390;-0.2796;0.9645;1.005
0.2020;-0.0395;-0.2824;0.9653;1.007
0.2070;-0.0338;-0.2891;0.9624;1.005
0.2110;-0.0290;-0.2940;0.9576;1.002
0.2170;-0.0242;-0.2938;0.9518;0.996
0.2230;-0.0136;-0.2946;0.9430;0.988
0.2260;-0.0045;-0.2945;0.9340;0.979
0.2320;0.0043;-0.3010;0.9276;0.975
0.2370;0.0100;-0.3015;0.9267;0.975
0.2410;0.0129;-0.3025;0.9272;0.975
0.2460;0.0142;-0.3024;0.9337;0.982
0.2510;0.0125;-0.3034;0.9373;0.985
0.2640;0.0106;-0.3046;0.9362;0.985
0.2660;0.0057;-0.3020;0.9433;0.990
0.2660;-0.0009;-0.2960;0.9438;0.989
0.2710;-0.0081;-0.2918;0.9428;0.987
0.2820;-0.0144;-0.2844;0.9433;0.985
0.2830;-0.0204;-0.2792;0.9469;0.987
0.2850;-0.0287;-0.2744;0.9530;0.992
0.2910;-0.0364;-0.2681;0.9558;0.993
0.2960;-0.0389;-0.2638;0.9557;0.992
0.3000;-0.0424;-0.2596;0.9604;0.996
0.3070;-0.0473;-0.2596;0.9636;0.999
